Species,Host,Year,Location,Region,Haplogroup,Approx.X,Approx.Y,Description
Vdestructor,Amellifera,2016?,Cameroon,Bamenyam,Korea,5.77412,10.31653,Year: 2016? Ref: Cham et al. (2017)
Vdestructor,Amellifera,2016?,Cameroon,Batouri,Korea,4.42582,14.35288,Year: 2016? Ref: Cham et al. (2017)
Vdestructor,Amellifera,2016?,Cameroon,Belo,Korea,6.18002,10.33402,Year: 2016? Ref: Cham et al. (2017)
Vdestructor,Amellifera,2016?,Cameroon,Bertoua1,Korea,4.58325,13.68123,Year: 2016? Ref: Cham et al. (2017)
Vdestructor,Amellifera,2016?,Cameroon,Bertoua2,Korea,4.56307,13.7018,Year: 2016? Ref: Cham et al. (2017)
Vdestructor,Amellifera,2016?,Cameroon,Bomaka,Korea,4.14539,9.31357,Year: 2016? Ref: Cham et al. (2017)
Vdestructor,Amellifera,2016?,Cameroon,Buea,Korea,4.15185,9.29668,Year: 2016? Ref: Cham et al. (2017)
Vdestructor,Amellifera,2016?,Cameroon,Ekuijua,Korea,6.33059,10.29085,Year: 2016? Ref: Cham et al. (2017)
Vdestructor,Amellifera,2016?,Cameroon,Kaigama,Korea,4.4583,13.62112,Year: 2016? Ref: Cham et al. (2017)
Vdestructor,Amellifera,2016?,Cameroon,Kumbo,Korea,6.20112,10.69774,Year: 2016? Ref: Cham et al. (2017)
Vdestructor,Amellifera,2016?,Cameroon,Kumbo1,Korea,6.2232,10.68106,Year: 2016? Ref: Cham et al. (2017)
Vdestructor,Amellifera,2016?,Cameroon,Kumbo2,Korea,6.20772,10.69884,Year: 2016? Ref: Cham et al. (2017)
Vdestructor,Amellifera,2016?,Cameroon,Laikom,Korea,6.28586,10.34344,Year: 2016? Ref: Cham et al. (2017)
Vdestructor,Amellifera,2016?,Cameroon,Meveo,Korea,4.11218,9.23868,Year: 2016? Ref: Cham et al. (2017)
Vdestructor,Amellifera,2016?,Cameroon,Njinikijim,Korea,6.1576,10.34155,Year: 2016? Ref: Cham et al. (2017)
Vdestructor,Amellifera,2016?,Cameroon,Oku,Korea,6.24181,10.5317,Year: 2016? Ref: Cham et al. (2017)
Vdestructor,Amellifera,2016?,Cameroon,Tombel1,Korea,4.74998,9.66188,Year: 2016? Ref: Cham et al. (2017)
Vdestructor,Amellifera,2016?,Cameroon,Tombel2,Korea,4.75303,9.67373,Year: 2016? Ref: Cham et al. (2017)
Vdestructor,Amellifera,1999-2001,Greece,Thessaloniki,Korea,40.62,22.95333333,Year: 1999-2001 Ref: Kokkinis and Liakos (2004)
Vdestructor,Amellifera,2009,Kenya,Mwingi,Korea,-0.8150278,38.32688889,Year: 2009 Ref: Fazier et al. (2010)
Vdestructor,Amellifera,2009,Kenya,Nairobi,Korea,-1.2243611,36.89744444,Year: 2009 Ref: Fazier et al. (2010)
Vdestructor,Amellifera,2015,Philippines,Lipa city,Korea,13.56,121.09,Year: 2015 Ref: Beaurepaire et al. (2015)
Vdestructor,Amellifera,2013,Saudi Arabia,Abha,Korea,18.2166667,42.5,Year: 2013 Ref: Alattal et al. (2015)
Vdestructor,Amellifera,2013,Saudi Arabia,AlBahah,Korea,20,41.45,Year: 2013 Ref: Alattal et al. (2015)
Vdestructor,Amellifera,2013,Saudi Arabia,Al-Hasa,Korea,25.4166667,49.61666667,Year: 2013 Ref: Alattal et al. (2015)
Vdestructor,Amellifera,2013,Saudi Arabia,Jazan,Korea,16.8833333,42.55,Year: 2013 Ref: Alattal et al. (2015)
